Role,Company,Ratings,Reviews,Salaries,Jobs,Office Locations,Global Company Size,Industry,Reviews Link,Salaries Link,Jobs Link
Data Scientist,IBM,4.1,91.3K,76.4K,11.3K,37 office locations,10000+ Employees,Information Technology Support Services,https://www.glassdoor.com/Reviews/IBM-Reviews-E354.htm,https://www.glassdoor.com/Salary/IBM-Salaries-E354.htm,https://www.glassdoor.com/Jobs/IBM-Jobs-E354.htm
Data Scientist,Microsoft,4.4,41.6K,82.2K,6.1K,34 office locations,10000+ Employees,Computer Hardware Development,https://www.glassdoor.com/Reviews/Microsoft-Reviews-E1651.htm,https://www.glassdoor.com/Salary/Microsoft-Salaries-E1651.htm,https://www.glassdoor.com/Jobs/Microsoft-Jobs-E1651.htm
Data Scientist,Amazon,3.8,134.7K,170.5K,92.4K,65 office locations,10000+ Employees,Internet & Web Services,https://www.glassdoor.com/Reviews/Amazon-Reviews-E6036.htm,https://www.glassdoor.com/Salary/Amazon-Salaries-E6036.htm,https://www.glassdoor.com/Jobs/Amazon-Jobs-E6036.htm
Data Scientist,Meta,4.2,11.1K,33.4K,6K,21 office locations,10000+ Employees,Internet & Web Services,https://www.glassdoor.com/Reviews/Meta-Reviews-E40772.htm,https://www.glassdoor.com/Salary/Meta-Salaries-E40772.htm,https://www.glassdoor.com/Jobs/Meta-Jobs-E40772.htm
Data Scientist,Booz Allen Hamilton,4.2,7.6K,18.9K,3K,25 office locations,10000+ Employees,Business Consulting,https://www.glassdoor.com/Reviews/Booz-Allen-Hamilton-Reviews-E2735.htm,https://www.glassdoor.com/Salary/Booz-Allen-Hamilton-Salaries-E2735.htm,https://www.glassdoor.com/Jobs/Booz-Allen-Hamilton-Jobs-E2735.htm
Data Scientist,Capital One,4.2,13.2K,28.8K,5.4K,32 office locations,10000+ Employees,Banking & Lending,https://www.glassdoor.com/Reviews/Capital-One-Reviews-E3736.htm,https://www.glassdoor.com/Salary/Capital-One-Salaries-E3736.htm,https://www.glassdoor.com/Jobs/Capital-One-Jobs-E3736.htm
Data Scientist,Walmart,3.4,100.6K,132.1K,21K,4 office locations,10000+ Employees,General Merchandise & Superstores,https://www.glassdoor.com/Reviews/Walmart-Reviews-E715.htm,https://www.glassdoor.com/Salary/Walmart-Salaries-E715.htm,https://www.glassdoor.com/Jobs/Walmart-Jobs-E715.htm
Data Scientist,Google,4.5,34.1K,61.8K,4.6K,"Headquarters in Mountain View, CA",10000+ Employees,Internet & Web Services,https://www.glassdoor.com/Reviews/Google-Reviews-E9079.htm,https://www.glassdoor.com/Salary/Google-Salaries-E9079.htm,https://www.glassdoor.com/Jobs/Google-Jobs-E9079.htm
Data Scientist,Uber,3.8,21.3K,24.6K,3.1K,74 office locations,10000+ Employees,Internet & Web Services,https://www.glassdoor.com/Reviews/Uber-Reviews-E575263.htm,https://www.glassdoor.com/Salary/Uber-Salaries-E575263.htm,https://www.glassdoor.com/Jobs/Uber-Jobs-E575263.htm
Data Scientist,Deloitte,4.0,82.3K,161.8K,102.9K,27 office locations,10000+ Employees,Accounting & Tax,https://www.glassdoor.com/Reviews/Deloitte-Reviews-E2763.htm,https://www.glassdoor.com/Salary/Deloitte-Salaries-E2763.htm,https://www.glassdoor.com/Jobs/Deloitte-Jobs-E2763.htm
